id,source,destination,distance
57,planetlab1.unr.edu,planetlab2.uta.edu,1346.73
58,planetlab1.unr.edu,planetlab2.utdallas.edu,1357.8
59,planetlab1.unr.edu,planetlab3.eecs.umich.edu,1880.38
60,planetlab1.unr.edu,planetlab3.rutgers.edu,2376.79
61,planetlab1.unr.edu,planetlab3.wail.wisc.edu,1589.14
62,planetlab1.unr.edu,planetlab4.tamu.edu,1457.97
63,planetlab1.unr.edu,planetlab-5.eecs.cwru.edu,1995.01
64,planetlab1.unr.edu,planetlabone.ccs.neu.edu,2518.17
65,planetlab1.unr.edu,pl-node-0.csl.sri.com,192.546
66,planetlab1.unr.edu,pluto.cs.brown.edu,2507.02
67,planetlab1.unr.edu,ricepl-5.cs.rice.edu,1538.5
68,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,2271.58
69,planetlab1.unr.edu,75-130-96-13.static.oxfr.ma.charter.com,2480.67
70,planetlab1.unr.edu,pl1.eecs.utk.edu,1962.84
71,planetlab1.unr.edu,planetlab-01.vt.nodes.planet-lab.org,2123.48
72,planetlab1.unr.edu,planetlab-04.vt.nodes.planet-lab.org,2123.48
73,planetlab1.unr.edu,planetlab-4.eecs.cwru.edu,1995.01
74,planetlab1.unr.edu,planetlab01.cs.washington.edu,574.294
75,planetlab1.unr.edu,planetlab02.cs.washington.edu,574.294
76,planetlab1.unr.edu,planetlab1.arizona-gigapop.net,707.239
77,planetlab1.unr.edu,planetlab1.cs.unc.edu,2223.18
78,planetlab1.unr.edu,planetlab1.postel.org,391.29
79,planetlab1.unr.edu,planet3.cc.gt.atl.ga.us,1989.75
80,planetlab1.unr.edu,planetlab4.cs.uoregon.edu,352.99
81,planetlab1.unr.edu,planetlab1.rutgers.edu,2376.79
82,planetlab1.unr.edu,planetlab2.cs.ucla.edu,385.402
83,planetlab1.unr.edu,planetlab3.cnds.jhu.edu,2283.47
84,planetlab1.unr.edu,planetlab03.cs.washington.edu,574.294
85,planetlab1.unr.edu,planetlab1.cs.uml.edu,2499.26
86,planetlab1.unr.edu,planetlab1.acis.ufl.edu,2222.92
87,planetlab1.unr.edu,planetlab5.eecs.umich.edu,1880.38
88,planetlab1.unr.edu,planetlab1.temple.edu,2346.81
89,planetlab1.unr.edu,planetlab4.csee.usf.edu,2269.85
90,pl2.cs.unm.edu,planetlab1.unr.edu,785.352
91,pl2.cs.unm.edu,pl2.cs.unm.edu,0
92,pl2.cs.unm.edu,planetlab2.cnis.nyit.edu,1831.99
93,pl2.cs.unm.edu,planetlab2.rutgers.edu,1789.41
94,pl2.cs.unm.edu,planetlab2.cs.du.edu,331.033
95,pl2.cs.unm.edu,planetlab2.ucsd.edu,625.075
96,pl2.cs.unm.edu,planetlab3.cs.uoregon.edu,1067.98
97,pl2.cs.unm.edu,planetlab-01.bu.edu,1965.81
98,pl2.cs.unm.edu,planetlab4.cnds.jhu.edu,1671.68
99,pl2.cs.unm.edu,planetlabtwo.ccs.neu.edu,1969.45
100,pl2.cs.unm.edu,planetlab1.cs.purdue.edu,1136.67
101,pl2.cs.unm.edu,planetlab2.tsuniv.edu,1113.74
102,pl2.cs.unm.edu,planetlab1.tsuniv.edu,1113.74
103,pl2.cs.unm.edu,planetlab3.ucsd.edu,625.075
104,pl2.cs.unm.edu,pl-node-1.csl.sri.com,879.426
105,pl2.cs.unm.edu,node2.planetlab.mathcs.emory.edu,1272.71
106,pl2.cs.unm.edu,planetlab5.csee.usf.edu,1502.34
107,pl2.cs.unm.edu,planetlab1.emich.edu,1332.19
108,pl2.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31
109,pl2.cs.unm.edu,ebb.colgate.edu,1743.93
110,pl2.cs.unm.edu,kc-sce-plab2.umkc.edu,718.838
111,pl2.cs.unm.edu,node1.planetlab.mathcs.emory.edu,1272.71
112,pl2.cs.unm.edu,pl1.cs.montana.edu,766.953
113,pl2.cs.unm.edu,pl3.cs.unm.edu,0
114,pl2.cs.unm.edu,plab3.eece.ksu.edu,622.165
115,pl2.cs.unm.edu,planet3.cc.gt.atl.ga.us,1268.79
116,pl2.cs.unm.edu,planetlab-01.cs.princeton.edu,1776.31
117,pl2.cs.unm.edu,planetlab-02.bu.edu,1965.81
118,pl2.cs.unm.edu,planetlab-02.vt.nodes.planet-lab.org,1466.68
119,pl2.cs.unm.edu,planetlab04.cs.washington.edu,1184.83
120,pl2.cs.unm.edu,planetlab1.clemson.edu,1346.78
121,pl2.cs.unm.edu,planetlab1.cnds.jhu.edu,1671.68
122,pl2.cs.unm.edu,planetlab1.cnis.nyit.edu,1831.99
123,pl2.cs.unm.edu,planetlab1.cs.du.edu,331.033
124,pl2.cs.unm.edu,planetlab1.csee.usf.edu,1502.34
125,pl2.cs.unm.edu,planetlab-1.cse.ohio-state.edu,1333.45
126,pl2.cs.unm.edu,planetlab1.cs.okstate.edu,542.71
127,pl2.cs.unm.edu,planetlab1.cs.ucla.edu,674.089
128,pl2.cs.unm.edu,planetlab1.csuohio.edu,1419.37
129,pl2.cs.unm.edu,planetlab1.emich.edu,1332.19
130,pl2.cs.unm.edu,planetlab1.netlab.uky.edu,1242.88
131,pl2.cs.unm.edu,planetlab1.ucsd.edu,625.075
132,pl2.cs.unm.edu,planetlab2.acis.ufl.edu,1466.62
133,pl2.cs.unm.edu,planetlab2.arizona-gigapop.net,315.844
134,pl2.cs.unm.edu,planetlab2.citadel.edu,1533.43
135,pl2.cs.unm.edu,planetlab-2.cse.ohio-state.edu,1333.45
136,pl2.cs.unm.edu,planetlab2.cs.pitt.edu,1494.69
137,pl2.cs.unm.edu,planetlab2.cs.purdue.edu,1136.67
138,pl2.cs.unm.edu,planet-lab2.cs.ucr.edu,616.127
139,pl2.cs.unm.edu,planetlab2.cs.uiuc.edu,1064.43
140,pl2.cs.unm.edu,planetlab2.cs.uml.edu,1955.47
141,pl2.cs.unm.edu,planetlab2.cs.unc.edu,1549.05
142,pl2.cs.unm.edu,planetlab2.cs.uoregon.edu,1067.98
143,pl2.cs.unm.edu,planetlab2.temple.edu,1749.1
144,pl2.cs.unm.edu,planetlab2.unl.edu,671.709
145,pl2.cs.unm.edu,planetlab2.unr.edu,785.352
146,pl2.cs.unm.edu,planetlab2.uta.edu,570.135
147,pl2.cs.unm.edu,planetlab2.utdallas.edu,584.772
148,pl2.cs.unm.edu,planetlab3.eecs.umich.edu,1328.53
149,pl2.cs.unm.edu,planetlab3.rutgers.edu,1789.41
150,pl2.cs.unm.edu,planetlab3.wail.wisc.edu,1075.15
151,pl2.cs.unm.edu,planetlab4.tamu.edu,672.985
152,pl2.cs.unm.edu,planetlab-5.eecs.cwru.edu,1422.81
153,pl2.cs.unm.edu,planetlabone.ccs.neu.edu,1969.45
154,pl2.cs.unm.edu,pl-node-0.csl.sri.com,879.426
155,pl2.cs.unm.edu,pluto.cs.brown.edu,1947.82
156,pl2.cs.unm.edu,ricepl-5.cs.rice.edu,753.179
157,pl2.cs.unm.edu,salt.planetlab.cs.umd.edu,1653.08
158,pl2.cs.unm.edu,75-130-96-13.static.oxfr.ma.charter.com,1929.31
159,pl2.cs.unm.edu,pl1.eecs.utk.edu,1275.99
160,pl2.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68
161,pl2.cs.unm.edu,planetlab-04.vt.nodes.planet-lab.org,1466.68
162,pl2.cs.unm.edu,planetlab-4.eecs.cwru.edu,1422.81
163,pl2.cs.unm.edu,planetlab01.cs.washington.edu,1184.83
164,pl2.cs.unm.edu,planetlab02.cs.washington.edu,1184.83
165,pl2.cs.unm.edu,planetlab1.arizona-gigapop.net,315.844
166,pl2.cs.unm.edu,planetlab1.cs.unc.edu,1549.05
167,pl2.cs.unm.edu,planetlab1.postel.org,676.13
168,pl2.cs.unm.edu,planet3.cc.gt.atl.ga.us,1268.79
169,pl2.cs.unm.edu,planetlab4.cs.uoregon.edu,1067.98
170,pl2.cs.unm.edu,planetlab1.rutgers.edu,1789.41
171,pl2.cs.unm.edu,planetlab2.cs.ucla.edu,674.089
172,pl2.cs.unm.edu,planetlab3.cnds.jhu.edu,1671.68
173,pl2.cs.unm.edu,planetlab03.cs.washington.edu,1184.83
174,pl2.cs.unm.edu,planetlab1.cs.uml.edu,1955.47
175,pl2.cs.unm.edu,planetlab1.acis.ufl.edu,1466.62
176,pl2.cs.unm.edu,planetlab5.eecs.umich.edu,1328.53
177,pl2.cs.unm.edu,planetlab1.temple.edu,1749.1
178,pl2.cs.unm.edu,planetlab4.csee.usf.edu,1502.34
179,planetlab2.cnis.nyit.edu,planetlab1.unr.edu,2412.34
180,planetlab2.cnis.nyit.edu,pl2.cs.unm.edu,1831.99
181,planetlab2.cnis.nyit.edu,planetlab2.cnis.nyit.edu,0
182,planetlab2.cnis.nyit.edu,planetlab2.rutgers.edu,47.5566
183,planetlab2.cnis.nyit.edu,planetlab2.cs.du.edu,1646.66
184,planetlab2.cnis.nyit.edu,planetlab2.ucsd.edu,2447.73
185,planetlab2.cnis.nyit.edu,planetlab3.cs.uoregon.edu,2494.03
186,planetlab2.cnis.nyit.edu,planetlab-01.bu.edu,167.522
187,planetlab2.cnis.nyit.edu,planetlab4.cnds.jhu.edu,188.505
188,planetlab2.cnis.nyit.edu,planetlabtwo.ccs.neu.edu,171.184
189,planetlab2.cnis.nyit.edu,planetlab1.cs.purdue.edu,697.834
190,planetlab2.cnis.nyit.edu,planetlab2.tsuniv.edu,782.877
191,planetlab2.cnis.nyit.edu,planetlab1.tsuniv.edu,782.877
192,planetlab2.cnis.nyit.edu,planetlab3.ucsd.edu,2447.73
193,planetlab2.cnis.nyit.edu,pl-node-1.csl.sri.com,2580.15
194,planetlab2.cnis.nyit.edu,node2.planetlab.mathcs.emory.edu,762.242
195,planetlab2.cnis.nyit.edu,planetlab5.csee.usf.edu,1012.92
196,planetlab2.cnis.nyit.edu,planetlab1.emich.edu,527.064
197,planetlab2.cnis.nyit.edu,75-130-96-12.static.oxfr.ma.charter.com,137.18
198,planetlab2.cnis.nyit.edu,ebb.colgate.edu,170.413
199,planetlab2.cnis.nyit.edu,kc-sce-plab2.umkc.edu,1115.29
200,planetlab2.cnis.nyit.edu,node1.planetlab.mathcs.emory.edu,762.242
201,planetlab2.cnis.nyit.edu,pl1.cs.montana.edu,1896.37
202,planetlab2.cnis.nyit.edu,pl3.cs.unm.edu,1831.99
203,planetlab2.cnis.nyit.edu,plab3.eece.ksu.edu,1218.07
204,planetlab2.cnis.nyit.edu,planet3.cc.gt.atl.ga.us,765.866
205,planetlab2.cnis.nyit.edu,planetlab-01.cs.princeton.edu,63.4836
206,planetlab2.cnis.nyit.edu,planetlab-02.bu.edu,167.522
207,planetlab2.cnis.nyit.edu,planetlab-02.vt.nodes.planet-lab.org,442.085
208,planetlab2.cnis.nyit.edu,planetlab04.cs.washington.edu,2415.88
209,planetlab2.cnis.nyit.edu,planetlab1.clemson.edu,658.345
210,planetlab2.cnis.nyit.edu,planetlab1.cnds.jhu.edu,188.505
211,planetlab2.cnis.nyit.edu,planetlab1.cnis.nyit.edu,0
212,planetlab2.cnis.nyit.edu,planetlab1.cs.du.edu,1646.66
213,planetlab2.cnis.nyit.edu,planetlab1.csee.usf.edu,1012.92
214,planetlab2.cnis.nyit.edu,planetlab-1.cse.ohio-state.edu,498.89
215,planetlab2.cnis.nyit.edu,planetlab1.cs.okstate.edu,1305.74
216,planetlab2.cnis.nyit.edu,planetlab1.cs.ucla.edu,2475.81
217,planetlab2.cnis.nyit.edu,planetlab1.csuohio.edu,422.225
218,planetlab2.cnis.nyit.edu,planetlab1.emich.edu,527.064
219,planetlab2.cnis.nyit.edu,planetlab1.netlab.uky.edu,611.884
220,planetlab2.cnis.nyit.edu,planetlab1.ucsd.edu,2447.73
221,planetlab2.cnis.nyit.edu,planetlab2.acis.ufl.edu,910.347
222,planetlab2.cnis.nyit.edu,planetlab2.arizona-gigapop.net,2138.67
223,planetlab2.cnis.nyit.edu,planetlab2.citadel.edu,655.52
224,planetlab2.cnis.nyit.edu,planetlab-2.cse.ohio-state.edu,498.89
225,planetlab2.cnis.nyit.edu,planetlab2.cs.pitt.edu,337.753
226,planetlab2.cnis.nyit.edu,planetlab2.cs.purdue.edu,697.834
227,planetlab2.cnis.nyit.edu,planet-lab2.cs.ucr.edu,2424.35
228,planetlab2.cnis.nyit.edu,planetlab2.cs.uiuc.edu,769.184
229,planetlab2.cnis.nyit.edu,planetlab2.cs.uml.edu,173.221
230,planetlab2.cnis.nyit.edu,planetlab2.cs.unc.edu,448.076
231,planetlab2.cnis.nyit.edu,planetlab2.cs.uoregon.edu,2494.03
232,planetlab2.cnis.nyit.edu,planetlab2.temple.edu,99.7813
233,planetlab2.cnis.nyit.edu,planetlab2.unl.edu,1202.47
234,planetlab2.cnis.nyit.edu,planetlab2.unr.edu,2412.34
235,planetlab2.cnis.nyit.edu,planetlab2.uta.edu,1410.2
236,planetlab2.cnis.nyit.edu,planetlab2.utdallas.edu,1383.01
237,planetlab2.cnis.nyit.edu,planetlab3.eecs.umich.edu,532.051
238,planetlab2.cnis.nyit.edu,planetlab3.rutgers.edu,47.5566
239,planetlab2.cnis.nyit.edu,planetlab3.wail.wisc.edu,824.529
240,planetlab2.cnis.nyit.edu,planetlab4.tamu.edu,1450.96
241,planetlab2.cnis.nyit.edu,planetlab-5.eecs.cwru.edu,418.724
242,planetlab2.cnis.nyit.edu,planetlabone.ccs.neu.edu,171.184
243,planetlab2.cnis.nyit.edu,pl-node-0.csl.sri.com,2580.15
244,planetlab2.cnis.nyit.edu,pluto.cs.brown.edu,133.134
245,planetlab2.cnis.nyit.edu,ricepl-5.cs.rice.edu,1442.12
246,planetlab2.cnis.nyit.edu,salt.planetlab.cs.umd.edu,217.196
247,planetlab2.cnis.nyit.edu,75-130-96-13.static.oxfr.ma.charter.com,137.18
248,planetlab2.cnis.nyit.edu,pl1.eecs.utk.edu,652.029
249,planetlab2.cnis.nyit.edu,planetlab-01.vt.nodes.planet-lab.org,442.085
250,planetlab2.cnis.nyit.edu,planetlab-04.vt.nodes.planet-lab.org,442.085
251,planetlab2.cnis.nyit.edu,planetlab-4.eecs.cwru.edu,418.724
252,planetlab2.cnis.nyit.edu,planetlab01.cs.washington.edu,2415.88
253,planetlab2.cnis.nyit.edu,planetlab02.cs.washington.edu,2415.88
254,planetlab2.cnis.nyit.edu,planetlab1.arizona-gigapop.net,2138.67
255,planetlab2.cnis.nyit.edu,planetlab1.cs.unc.edu,448.076
256,planetlab2.cnis.nyit.edu,planetlab1.postel.org,2479.3
257,planetlab2.cnis.nyit.edu,planet3.cc.gt.atl.ga.us,765.866
258,planetlab2.cnis.nyit.edu,planetlab4.cs.uoregon.edu,2494.03
259,planetlab2.cnis.nyit.edu,planetlab1.rutgers.edu,47.5566
260,planetlab2.cnis.nyit.edu,planetlab2.cs.ucla.edu,2475.81
261,planetlab2.cnis.nyit.edu,planetlab3.cnds.jhu.edu,188.505
262,planetlab2.cnis.nyit.edu,planetlab03.cs.washington.edu,2415.88
263,planetlab2.cnis.nyit.edu,planetlab1.cs.uml.edu,173.221
264,planetlab2.cnis.nyit.edu,planetlab1.acis.ufl.edu,910.347
265,planetlab2.cnis.nyit.edu,planetlab5.eecs.umich.edu,532.051
266,planetlab2.cnis.nyit.edu,planetlab1.temple.edu,99.7813
267,planetlab2.cnis.nyit.edu,planetlab4.csee.usf.edu,1012.92
268,planetlab2.rutgers.edu,planetlab1.unr.edu,2376.79
269,planetlab2.rutgers.edu,pl2.cs.unm.edu,1789.41
270,planetlab2.rutgers.edu,planetlab2.cnis.nyit.edu,47.5566
271,planetlab2.rutgers.edu,planetlab2.rutgers.edu,0
272,planetlab2.rutgers.edu,planetlab2.cs.du.edu,1608.16
273,planetlab2.rutgers.edu,planetlab2.ucsd.edu,2406.31
274,planetlab2.rutgers.edu,planetlab3.cs.uoregon.edu,2463.6
275,planetlab2.rutgers.edu,planetlab-01.bu.edu,214.23
276,planetlab2.rutgers.edu,planetlab4.cnds.jhu.edu,141.112
277,planetlab2.rutgers.edu,planetlabtwo.ccs.neu.edu,217.94
278,planetlab2.rutgers.edu,planetlab1.cs.purdue.edu,657.084
279,planetlab2.rutgers.edu,planetlab2.tsuniv.edu,735.801
280,planetlab2.rutgers.edu,planetlab1.tsuniv.edu,735.801
281,planetlab2.rutgers.edu,planetlab3.ucsd.edu,2406.31
282,planetlab2.rutgers.edu,pl-node-1.csl.sri.com,2543.33
283,planetlab2.rutgers.edu,node2.planetlab.mathcs.emory.edu,715.212
284,planetlab2.rutgers.edu,planetlab5.csee.usf.edu,971.961
285,planetlab2.rutgers.edu,planetlab1.emich.edu,492.736
286,planetlab2.rutgers.edu,75-130-96-12.static.oxfr.ma.charter.com,182.583
287,planetlab2.rutgers.edu,ebb.colgate.edu,171.145
288,planetlab2.rutgers.edu,kc-sce-plab2.umkc.edu,1073.69
289,planetlab2.rutgers.edu,node1.planetlab.mathcs.emory.edu,715.212
290,planetlab2.rutgers.edu,pl1.cs.montana.edu,1866.57
291,planetlab2.rutgers.edu,pl3.cs.unm.edu,1789.41
292,planetlab2.rutgers.edu,plab3.eece.ksu.edu,1177.17
293,planetlab2.rutgers.edu,planet3.cc.gt.atl.ga.us,718.815
294,planetlab2.rutgers.edu,planetlab-01.cs.princeton.edu,16.056
295,planetlab2.rutgers.edu,planetlab-02.bu.edu,214.23
296,planetlab2.rutgers.edu,planetlab-02.vt.nodes.planet-lab.org,394.677
297,planetlab2.rutgers.edu,planetlab04.cs.washington.edu,2389.45
298,planetlab2.rutgers.edu,planetlab1.clemson.edu,611.461
299,planetlab2.rutgers.edu,planetlab1.cnds.jhu.edu,141.112
300,planetlab2.rutgers.edu,planetlab1.cnis.nyit.edu,47.5566
301,planetlab2.rutgers.edu,planetlab1.cs.du.edu,1608.16
302,planetlab2.rutgers.edu,planetlab1.csee.usf.edu,971.961
303,planetlab2.rutgers.edu,planetlab-1.cse.ohio-state.edu,455.966
304,planetlab2.rutgers.edu,planetlab1.cs.okstate.edu,1261.48
305,planetlab2.rutgers.edu,planetlab1.cs.ucla.edu,2435.5
306,planetlab2.rutgers.edu,planetlab1.csuohio.edu,385.294
307,planetlab2.rutgers.edu,planetlab1.emich.edu,492.736
308,planetlab2.rutgers.edu,planetlab1.netlab.uky.edu,565.675
309,planetlab2.rutgers.edu,planetlab1.ucsd.edu,2406.31
310,planetlab2.rutgers.edu,planetlab2.acis.ufl.edu,868.279
311,planetlab2.rutgers.edu,planetlab2.arizona-gigapop.net,2095.26
312,planetlab2.rutgers.edu,planetlab2.citadel.edu,613.843
313,planetlab2.rutgers.edu,planetlab-2.cse.ohio-state.edu,455.966
314,planetlab2.rutgers.edu,planetlab2.cs.pitt.edu,294.727
315,planetlab2.rutgers.edu,planetlab2.cs.purdue.edu,657.084
316,planetlab2.rutgers.edu,planet-lab2.cs.ucr.edu,2383.68
317,planetlab2.rutgers.edu,planetlab2.cs.uiuc.edu,727.958
318,planetlab2.rutgers.edu,planetlab2.cs.uml.edu,218.487
319,planetlab2.rutgers.edu,planetlab2.cs.unc.edu,403.525
320,planetlab2.rutgers.edu,planetlab2.cs.uoregon.edu,2463.6
321,planetlab2.rutgers.edu,planetlab2.temple.edu,52.8727
322,planetlab2.rutgers.edu,planetlab2.unl.edu,1164.02
323,planetlab2.rutgers.edu,planetlab2.unr.edu,2376.79
324,planetlab2.rutgers.edu,planetlab2.uta.edu,1363.72
325,planetlab2.rutgers.edu,planetlab2.utdallas.edu,1336.58
326,planetlab2.rutgers.edu,planetlab3.eecs.umich.edu,497.88
327,planetlab2.rutgers.edu,planetlab3.rutgers.edu,0
328,planetlab2.rutgers.edu,planetlab3.wail.wisc.edu,790.996
329,planetlab2.rutgers.edu,planetlab4.tamu.edu,1403.67
330,planetlab2.rutgers.edu,planetlab-5.eecs.cwru.edu,381.815
331,planetlab2.rutgers.edu,planetlabone.ccs.neu.edu,217.94
332,planetlab2.rutgers.edu,pl-node-0.csl.sri.com,2543.33
333,planetlab2.rutgers.edu,pluto.cs.brown.edu,180.59
334,planetlab2.rutgers.edu,ricepl-5.cs.rice.edu,1394.62
335,planetlab2.rutgers.edu,salt.planetlab.cs.umd.edu,170.037
336,planetlab2.rutgers.edu,75-130-96-13.static.oxfr.ma.charter.com,182.583
337,planetlab2.rutgers.edu,pl1.eecs.utk.edu,604.473
338,planetlab2.rutgers.edu,planetlab-01.vt.nodes.planet-lab.org,394.677
339,planetlab2.rutgers.edu,planetlab-04.vt.nodes.planet-lab.org,394.677
340,planetlab2.rutgers.edu,planetlab-4.eecs.cwru.edu,381.815
341,planetlab2.rutgers.edu,planetlab01.cs.washington.edu,2389.45
342,planetlab2.rutgers.edu,planetlab02.cs.washington.edu,2389.45
343,planetlab2.rutgers.edu,planetlab1.arizona-gigapop.net,2095.26
344,planetlab2.rutgers.edu,planetlab1.cs.unc.edu,403.525
345,planetlab2.rutgers.edu,planetlab1.postel.org,2438.93
346,planetlab2.rutgers.edu,planet3.cc.gt.atl.ga.us,718.815
347,planetlab2.rutgers.edu,planetlab4.cs.uoregon.edu,2463.6
348,planetlab2.rutgers.edu,planetlab1.rutgers.edu,0
349,planetlab2.rutgers.edu,planetlab2.cs.ucla.edu,2435.5
350,planetlab2.rutgers.edu,planetlab3.cnds.jhu.edu,141.112
351,planetlab2.rutgers.edu,planetlab03.cs.washington.edu,2389.45
352,planetlab2.rutgers.edu,planetlab1.cs.uml.edu,218.487
353,planetlab2.rutgers.edu,planetlab1.acis.ufl.edu,868.279
354,planetlab2.rutgers.edu,planetlab5.eecs.umich.edu,497.88
355,planetlab2.rutgers.edu,planetlab1.temple.edu,52.8727
356,planetlab2.rutgers.edu,planetlab4.csee.usf.edu,971.961
357,planetlab2.cs.du.edu,planetlab1.unr.edu,789.709
358,planetlab2.cs.du.edu,pl2.cs.unm.edu,331.033
359,planetlab2.cs.du.edu,planetlab2.cnis.nyit.edu,1646.66
360,planetlab2.cs.du.edu,planetlab2.rutgers.edu,1608.16
361,planetlab2.cs.du.edu,planetlab2.cs.du.edu,0
362,planetlab2.cs.du.edu,planetlab2.ucsd.edu,828.441
363,planetlab2.cs.du.edu,planetlab3.cs.uoregon.edu,976.442
364,planetlab2.cs.du.edu,planetlab-01.bu.edu,1763.37
365,planetlab2.cs.du.edu,planetlab4.cnds.jhu.edu,1505.97
366,planetlab2.cs.du.edu,planetlabtwo.ccs.neu.edu,1766.79
367,planetlab2.cs.du.edu,planetlab1.cs.purdue.edu,954.195
368,planetlab2.cs.du.edu,planetlab2.tsuniv.edu,1015.73
369,planetlab2.cs.du.edu,planetlab1.tsuniv.edu,1015.73
370,planetlab2.cs.du.edu,planetlab3.ucsd.edu,828.441
371,planetlab2.cs.du.edu,pl-node-1.csl.sri.com,941.13
372,planetlab2.cs.du.edu,node2.planetlab.mathcs.emory.edu,1209.74
373,planetlab2.cs.du.edu,planetlab5.csee.usf.edu,1515.87
374,planetlab2.cs.du.edu,planetlab1.emich.edu,1124.46
375,planetlab2.cs.du.edu,75-130-96-12.static.oxfr.ma.charter.com,1727.76
376,planetlab2.cs.du.edu,ebb.colgate.edu,1536.1
377,planetlab2.cs.du.edu,kc-sce-plab2.umkc.edu,556.191
378,planetlab2.cs.du.edu,node1.planetlab.mathcs.emory.edu,1209.74
379,planetlab2.cs.du.edu,pl1.cs.montana.edu,516.104
380,planetlab2.cs.du.edu,pl3.cs.unm.edu,331.033
381,planetlab2.cs.du.edu,plab3.eece.ksu.edu,447.954
382,planetlab2.cs.du.edu,planet3.cc.gt.atl.ga.us,1206.38
383,planetlab2.cs.du.edu,planetlab-01.cs.princeton.edu,1596.81
384,planetlab2.cs.du.edu,planetlab-02.bu.edu,1763.37
385,planetlab2.cs.du.edu,planetlab-02.vt.nodes.planet-lab.org,1335.36
386,planetlab2.cs.du.edu,planetlab04.cs.washington.edu,1023.85
387,planetlab2.cs.du.edu,planetlab1.clemson.edu,1262.42
