distance,cdf
221.999,0.0488702049
225.227,0.049395691
225.227,0.0499211771
231.249,0.0504466632
231.249,0.0509721492
231.249,0.0514976353
231.249,0.0520231214
234.403,0.0525486075
234.403,0.0530740935
235.434,0.0535995796
235.434,0.0541250657
235.434,0.0546505518
235.434,0.0551760378
238.555,0.0557015239
238.555,0.05622701
241.162,0.0567524961
241.162,0.0572779821
247.357,0.0578034682
247.357,0.0583289543
252.225,0.0588544404
252.225,0.0593799264
252.225,0.0599054125
252.225,0.0604308986
252.225,0.0609563847
252.225,0.0614818707
252.225,0.0620073568
252.225,0.0625328429
252.225,0.063058329
252.225,0.063583815
252.225,0.0641093011
252.225,0.0646347872
253.582,0.0651602733
253.582,0.0656857593
253.582,0.0662112454
254.988,0.0667367315
254.988,0.0672622176
254.988,0.0677877036
254.988,0.0683131897
256.586,0.0688386758
256.586,0.0693641618
256.586,0.0698896479
256.586,0.070415134
261.163,0.0709406201
261.163,0.0714661061
261.163,0.0719915922
261.163,0.0725170783
264.983,0.0730425644
264.983,0.0735680504
270.723,0.0740935365
270.723,0.0746190226
270.723,0.0751445087
270.723,0.0756699947
270.723,0.0761954808
270.723,0.0767209669
270.723,0.077246453
270.723,0.077771939
270.798,0.0782974251
270.798,0.0788229112
270.798,0.0793483973
270.798,0.0798738833
271.31,0.0803993694
271.31,0.0809248555
271.31,0.0814503416
271.31,0.0819758276
274.685,0.0825013137
290.74,0.0830267998
290.74,0.0835522859
293.152,0.0840777719
293.152,0.084603258
304.384,0.0851287441
304.384,0.0856542302
304.384,0.0861797162
304.384,0.0867052023
305.582,0.0872306884
305.582,0.0877561745
305.582,0.0882816605
308.555,0.0888071466
308.555,0.0893326327
308.555,0.0898581188
308.555,0.0903836048
308.555,0.0909090909
308.555,0.091434577
308.555,0.0919600631
308.555,0.0924855491
309.463,0.0930110352
309.463,0.0935365213
309.463,0.0940620074
309.463,0.0945874934
315.844,0.0951129795
315.844,0.0956384656
315.844,0.0961639517
315.844,0.0966894377
315.844,0.0972149238
315.844,0.0977404099
322.619,0.098265896
322.619,0.098791382
322.686,0.0993168681
322.686,0.0998423542
322.686,0.1003678403
322.686,0.1008933263
322.686,0.1014188124
322.686,0.1019442985
323.96,0.1024697846
323.96,0.1029952706
326.092,0.1035207567
326.092,0.1040462428
326.092,0.1045717288
331.033,0.1050972149
331.033,0.105622701
331.033,0.1061481871
331.033,0.1066736731
331.033,0.1071991592
331.033,0.1077246453
333.827,0.1082501314
333.827,0.1087756174
333.827,0.1093011035
333.827,0.1098265896
333.827,0.1103520757
333.827,0.1108775617
333.827,0.1114030478
333.827,0.1119285339
337.753,0.11245402
337.753,0.112979506
337.753,0.1135049921
337.753,0.1140304782
337.891,0.1145559643
337.891,0.1150814503
337.891,0.1156069364
337.891,0.1161324225
342.436,0.1166579086
342.436,0.1171833946
342.436,0.1177088807
342.436,0.1182343668
342.436,0.1187598529
342.436,0.1192853389
351.333,0.119810825
