source,destination,distance,avg(dd.avgdelay)
planetlab2.citadel.edu,node1.planetlab.mathcs.emory.edu,261.163,14.444444444444445
planetlab1.temple.edu,planetlab-04.vt.nodes.planet-lab.org,342.436,14.444444444444445
planetlab-04.vt.nodes.planet-lab.org,planetlab1.temple.edu,342.436,14.5
planetlab2.temple.edu,planetlab-04.vt.nodes.planet-lab.org,342.436,14.555555555555555
node2.planetlab.mathcs.emory.edu,planetlab1.cs.unc.edu,333.827,14.555555555555555
planetlab2.cs.ucla.edu,planetlab1.ucsd.edu,107.845,14.571428571428571
planetlab1.cs.unc.edu,node2.planetlab.mathcs.emory.edu,333.827,14.6
planetlab2.temple.edu,planetlab2.cs.pitt.edu,256.586,14.625
planetlab3.cnds.jhu.edu,planetlab2.cnis.nyit.edu,188.505,14.666666666666666
planetlab3.ucsd.edu,planetlab1.arizona-gigapop.net,368.903,14.666666666666666
node1.planetlab.mathcs.emory.edu,planetlab1.cs.unc.edu,333.827,14.777777777777779
planetlab2.arizona-gigapop.net,planetlab3.ucsd.edu,368.903,14.8
planetlab1.temple.edu,planetlab2.cs.pitt.edu,256.586,14.875
planetlab3.cnds.jhu.edu,planetlab2.cs.pitt.edu,191.586,15
planetlab1.arizona-gigapop.net,planetlab1.ucsd.edu,368.903,15
planetlab2.arizona-gigapop.net,planetlab1.ucsd.edu,368.903,15
planetlab2.uta.edu,planetlab2.unl.edu,558.159,15
node1.planetlab.mathcs.emory.edu,planetlab5.csee.usf.edu,411.823,15
planetlab5.csee.usf.edu,node1.planetlab.mathcs.emory.edu,411.823,15
planetlab1.ucsd.edu,planetlab2.arizona-gigapop.net,368.903,15
planetlab3.ucsd.edu,planetlab2.arizona-gigapop.net,368.903,15
planetlab1.cs.unc.edu,node1.planetlab.mathcs.emory.edu,333.827,15.1
planetlab5.csee.usf.edu,node2.planetlab.mathcs.emory.edu,411.823,15.1
planetlab2.unl.edu,planetlab2.uta.edu,558.159,15.222222222222221
planet3.cc.gt.atl.ga.us,planetlab2.citadel.edu,264.983,15.235294117647058
planetlab2.acis.ufl.edu,planetlab5.csee.usf.edu,112.37,15.6
planetlab-04.vt.nodes.planet-lab.org,planetlab3.cnds.jhu.edu,253.582,15.625
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,15.666666666666666
