source,destination,distance,avg(dd.avgdelay)
planetlab01.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,7.222222222222222
planetlab2.temple.edu,salt.planetlab.cs.umd.edu,117.417,7.714285714285714
planetlab2.temple.edu,planetlab3.cnds.jhu.edu,88.9667,7.875
planetlab3.cnds.jhu.edu,planetlab2.temple.edu,88.9667,8
planetlab1.temple.edu,salt.planetlab.cs.umd.edu,117.417,8.428571428571429
planetlabone.ccs.neu.edu,planetlab2.temple.edu,270.723,8.5
ebb.colgate.edu,75-130-96-12.static.oxfr.ma.charter.com,193.358,8.555555555555555
planetlab1.temple.edu,planetlabone.ccs.neu.edu,270.723,8.777777777777779
planetlabtwo.ccs.neu.edu,planetlab2.temple.edu,270.723,8.777777777777779
planetlabone.ccs.neu.edu,planetlab1.temple.edu,270.723,8.875
planetlab1.temple.edu,planetlabtwo.ccs.neu.edu,270.723,8.9
planetlab2.temple.edu,planetlabone.ccs.neu.edu,270.723,9
planetlabtwo.ccs.neu.edu,ebb.colgate.edu,231.249,9
planetlabone.ccs.neu.edu,ebb.colgate.edu,231.249,9.1
planetlabtwo.ccs.neu.edu,planetlab1.temple.edu,270.723,9.11111111111111
ebb.colgate.edu,planetlabtwo.ccs.neu.edu,231.249,9.11111111111111
planetlab1.temple.edu,planetlab3.cnds.jhu.edu,88.9667,10.25
planetlab2.temple.edu,planetlabtwo.ccs.neu.edu,270.723,10.8
planetlab5.csee.usf.edu,planetlab1.acis.ufl.edu,112.37,11
planetlab-01.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,11
planetlab-04.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,11
planetlab1.cs.okstate.edu,planetlab2.unl.edu,323.96,11.11111111111111
ebb.colgate.edu,planetlab2.temple.edu,197.075,11.25
planetlab1.temple.edu,ebb.colgate.edu,197.075,11.3
planetlab2.unl.edu,planetlab1.cs.okstate.edu,323.96,11.333333333333334
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.cs.uml.edu,36.0409,11.333333333333334
planetlab2.temple.edu,ebb.colgate.edu,197.075,11.5
planetlab5.csee.usf.edu,planetlab2.acis.ufl.edu,112.37,11.555555555555555
planetlab1.acis.ufl.edu,planetlab5.csee.usf.edu,112.37,12
node1.planetlab.mathcs.emory.edu,planetlab-04.vt.nodes.planet-lab.org,322.686,12
planetlab2.cs.unc.edu,planet3.cc.gt.atl.ga.us,337.891,12
node1.planetlab.mathcs.emory.edu,planetlab2.cs.unc.edu,333.827,12
planetlab-04.vt.nodes.planet-lab.org,node1.planetlab.mathcs.emory.edu,322.686,12
node2.planetlab.mathcs.emory.edu,planetlab2.cs.unc.edu,333.827,12
planetlab-04.vt.nodes.planet-lab.org,node2.planetlab.mathcs.emory.edu,322.686,12.1
node2.planetlab.mathcs.emory.edu,planetlab-04.vt.nodes.planet-lab.org,322.686,12.222222222222221
planet3.cc.gt.atl.ga.us,planetlab2.cs.unc.edu,337.891,12.333333333333334
planetlab2.cs.unc.edu,node2.planetlab.mathcs.emory.edu,333.827,12.333333333333334
planetlab2.cs.unc.edu,node1.planetlab.mathcs.emory.edu,333.827,12.333333333333334
planetlab2.citadel.edu,node2.planetlab.mathcs.emory.edu,261.163,12.444444444444445
node1.planetlab.mathcs.emory.edu,planetlab2.citadel.edu,261.163,12.444444444444445
node2.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,12.444444444444445
node2.planetlab.mathcs.emory.edu,planetlab2.citadel.edu,261.163,12.444444444444445
node1.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,12.444444444444445
planetlab1.cs.ucla.edu,planetlab1.ucsd.edu,107.845,13
planetlab3.ucsd.edu,planetlab2.cs.ucla.edu,107.845,13
planetlab1.cs.ucla.edu,planetlab3.ucsd.edu,107.845,13
planetlab2.cs.ucla.edu,planetlab3.ucsd.edu,107.845,13
planetlab-04.vt.nodes.planet-lab.org,planetlab3.cnds.jhu.edu,253.582,13
planetlab3.ucsd.edu,planetlab1.cs.ucla.edu,107.845,13
planetlab2.citadel.edu,node1.planetlab.mathcs.emory.edu,261.163,13.11111111111111
planetlab-04.vt.nodes.planet-lab.org,planetlab1.temple.edu,342.436,13.875
planetlab1.ucsd.edu,planetlab2.cs.ucla.edu,107.845,14
