ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024132454,20151024132454,20151024132455,20151024132454,20151024132454,20151024132455,71,77,78,75
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024132458,20151024132456,20151024132459,20151024132458,20151024132456,20151024132459,75,78,80,78
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024132502,20151024132503,20151024132500,20151024132502,20151024132504,20151024132501,796,1168,1230,1065
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024132504,20151024132508,20151024132506,20151024132505,20151024132509,20151024132507,705,742,869,772
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024132516,20151024132513,20151024132518,20151024132518,20151024132515,20151024132520,1697,2098,2191,1995
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024132733,20151024132734,20151024132734,20151024132733,20151024132734,20151024132734,73,78,78,76
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024132735,20151024132735,20151024132736,20151024132735,20151024132735,20151024132736,76,78,79,78
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024132739,20151024132737,20151024132740,20151024132739,20151024132738,20151024132741,748,1022,1221,997
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024132746,20151024132751,20151024132749,20151024132748,20151024132753,20151024132751,2104,2184,2259,2182
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024132806,20151024132758,20151024132802,20151024132808,20151024132801,20151024132805,1717,2731,3049,2499
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024132910,20151024132912,20151024132911,20151024132910,20151024132912,20151024132911,73,76,77,75
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024132912,20151024132913,20151024132914,20151024132912,20151024132913,20151024132914,76,77,77,77
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024132917,20151024132916,20151024132914,20151024132918,20151024132917,20151024132915,1124,1126,1136,1129
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024132920,20151024132922,20151024132927,20151024132921,20151024132924,20151024132930,525,2231,3082,1946
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024132931,20151024132939,20151024132942,20151024132934,20151024132942,20151024132945,2767,2933,2985,2895
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024133119,20151024133119,20151024133121,20151024133119,20151024133120,20151024133121,73,75,77,75
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024133123,20151024133122,20151024133122,20151024133123,20151024133122,20151024133122,75,77,81,78
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024133128,20151024133130,20151024133124,20151024133130,20151024133133,20151024133127,1989,2935,2970,2631
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024133143,20151024133138,20151024133141,20151024133145,20151024133140,20151024133143,137,1514,1623,1091
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024133158,20151024133148,20151024133155,20151024133200,20151024133151,20151024133157,1551,3064,3556,2724
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024234323,20151024234323,20151024234322,20151024234323,20151024234323,20151024234322,75,76,81,77
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024234325,20151024234324,20151024234326,20151024234325,20151024234324,20151024234326,74,78,79,77
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024234327,20151024234328,20151024234329,20151024234328,20151024234329,20151024234332,966,1174,3108,1749
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024234336,20151024234348,20151024234342,20151024234341,20151024234353,20151024234348,4937,5433,6593,5654
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024234401,20151024234428,20151024234420,20151024234409,20151024234436,20151024234428,7931,8415,8490,8279
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024235223,20151024235221,20151024235222,20151024235223,20151024235221,20151024235222,76,81,84,80
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024235226,20151024235225,20151024235227,20151024235226,20151024235225,20151024235227,77,84,87,83
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024235236,20151024235239,20151024235232,20151024235239,20151024235243,20151024235236,3600,4295,4687,4194
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024235244,20151024235257,20151024235250,20151024235249,20151024235303,20151024235256,4668,5726,5953,5449
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024235326,20151024235351,20151024235338,20151024235337,20151024235403,20151024235351,10931,12242,13688,12287
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file32B.txt,20151025164604,20151025164606,20151025164605,20151025164604,20151025164606,20151025164605,66,66,68,67
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file1KB.txt,20151025164607,20151025164606,20151025164608,20151025164607,20151025164606,20151025164608,61,62,63,62
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file256KB.txt,20151025164610,20151025164608,20151025164612,20151025164611,20151025164609,20151025164613,1187,1295,1296,1259
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file512KB.txt,20151025164616,20151025164617,20151025164614,20151025164616,20151025164618,20151025164615,645,858,1325,943
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file1MB.txt,20151025164622,20151025164624,20151025164618,20151025164623,20151025164626,20151025164620,1019,2317,2412,1916
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file32B.txt,20151025164720,20151025164719,20151025164720,20151025164720,20151025164719,20151025164721,68,71,1926,688
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file1KB.txt,20151025164723,20151025164722,20151025164722,20151025164723,20151025164722,20151025164722,65,71,72,69
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file256KB.txt,20151025164725,20151025164727,20151025164723,20151025164726,20151025164728,20151025164724,1170,1197,1298,1222
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file512KB.txt,20151025164730,20151025164728,20151025164736,20151025164731,20151025164729,20151025164738,608,654,1621,961
planetlab-04.vt.nodes.planet-lab.org,Harsha-Laptop,file1MB.txt,20151025164746,20151025164748,20151025164742,20151025164748,20151025164750,20151025164745,1709,1893,3045,2216
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025165441,20151025165440,20151025165442,20151025165441,20151025165440,20151025165442,74,77,77,76
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025165445,20151025165444,20151025165445,20151025165445,20151025165444,20151025165445,77,78,79,78
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025165446,20151025165448,20151025165454,20151025165447,20151025165450,20151025165456,656,1755,1950,1454
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025165509,20151025165501,20151025165504,20151025165512,20151025165504,20151025165508,3144,3179,3847,3390
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025165541,20151025165523,20151025165531,20151025165546,20151025165530,20151025165539,5356,6423,7594,6458
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025170143,20151025170144,20151025170142,20151025170143,20151025170144,20151025170142,79,80,82,80
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025170146,20151025170145,20151025170145,20151025170146,20151025170145,20151025170145,74,75,80,76
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025170148,20151025170146,20151025170154,20151025170150,20151025170148,20151025170157,2374,2411,2869,2551
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025170214,20151025170204,20151025170208,20151025170218,20151025170208,20151025170213,3902,4344,5066,4437
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025170241,20151025170219,20151025170226,20151025170246,20151025170225,20151025170232,4625,5341,5530,5165
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025180851,20151025180848,20151025180849,20151025180851,20151025180848,20151025180849,84,87,90,87
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025180851,20151025180852,20151025180853,20151025180851,20151025180852,20151025180853,86,89,92,89
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025180854,20151025180900,20151025180857,20151025180856,20151025180902,20151025180859,1260,1825,1834,1640
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025180917,20151025180910,20151025180905,20151025180920,20151025180913,20151025180909,2739,2759,4173,3224
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025181015,20151025181009,20151025180921,20151025181020,20151025181015,20151025180928,5111,5570,7093,5925
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025181441,20151025181442,20151025181439,20151025181441,20151025181442,20151025181439,85,85,92,87
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025181442,20151025181443,20151025181445,20151025181442,20151025181443,20151025181445,89,89,91,90
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025181450,20151025181452,20151025181447,20151025181451,20151025181454,20151025181449,287,1866,2220,1458
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025181513,20151025181455,20151025181506,20151025181516,20151025181458,20151025181512,2250,2270,5495,3338
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025181530,20151025181524,20151025181536,20151025181535,20151025181529,20151025181542,4457,4710,5274,4814
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025181601,20151025181601,20151025181602,20151025181601,20151025181601,20151025181602,86,89,90,88
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025181604,20151025181603,20151025181605,20151025181604,20151025181603,20151025181605,83,89,91,88
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025181612,20151025181609,20151025181606,20151025181614,20151025181611,20151025181609,1851,1853,3208,2304
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025181633,20151025181628,20151025181622,20151025181637,20151025181632,20151025181627,3787,3865,4821,4158
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025181654,20151025181659,20151025181647,20151025181658,20151025181703,20151025181653,3194,3589,6295,4359
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025181854,20151025181856,20151025181855,20151025181854,20151025181856,20151025181855,86,87,91,88
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025181859,20151025181857,20151025181858,20151025181859,20151025181857,20151025181858,86,91,93,90
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025181900,20151025181900,20151025181901,20151025181900,20151025181900,20151025181901,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025181902,20151025181902,20151025181903,20151025181902,20151025181902,20151025181903,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025181904,20151025181907,20151025181906,20151025181904,20151025181908,20151025181907,590,1392,1416,1133
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025182022,20151025182020,20151025182022,20151025182022,20151025182020,20151025182022,86,88,89,88
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025182024,20151025182023,20151025182025,20151025182024,20151025182023,20151025182025,88,89,91,89
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151025182025,20151025182026,20151025182027,20151025182025,20151025182026,20151025182027,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151025182028,20151025182028,20151025182029,20151025182028,20151025182028,20151025182029,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151025182041,20151025182053,20151025182047,20151025182047,20151025182059,20151025182053,5948,6182,6382,6171
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151025182207,20151025182208,20151025182209,20151025182207,20151025182208,20151025182209,88,90,92,90
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151025182210,20151025182211,20151025182211,20151025182210,20151025182211,20151025182211,86,89,95,90
